major minor  #blocks  name

   8        0  468851544 sda
   8        1       1007 sda1
   8        2    1048576 sda2
   8        3  467801927 sda3
   8       16 7814026584 sdb
   8       17 7814017024 sdb1
   8       25       8192 sdb9
   8       32 7814026584 sdc
   8       33 7814017024 sdc1
   8       41       8192 sdc9
   8       48  976762584 sdd
   8       49  976752640 sdd1
   8       57       8192 sdd9
   8       64  947460024 sde
   8       65  947449856 sde1
   8       73       8192 sde9
   8       80  488386584 sdf
   8       81  488377344 sdf1
   8       89       8192 sdf9
   8       96  488386584 sdg
   8       97  488377344 sdg1
   8      105       8192 sdg9
 252        0    8388608 dm-0
 252        1  100663296 dm-1
 252        2    3416064 dm-2
 252        3  335134720 dm-3
 252        4  335134720 dm-4
 252        5  335134720 dm-5
 252        6   67108864 dm-6
 252        7   33554432 dm-7
 252        8   33554432 dm-8
 252        9    8388608 dm-9
 252       10    8388608 dm-10
 252       11  104857600 dm-11
 252       12    8388608 dm-12
 252       13   33554432 dm-13
 252       14   33554432 dm-14
 252       15    8388608 dm-15
 252       16   33554432 dm-16
 252       17   29360128 dm-17
 252       18   33554432 dm-18
 252       19   62500864 dm-19
